Developer,Repo name,Description,Language,Total stars,Forks,Stars today
public-apis,public-apis,A collective list of free APIs,Python,"299,226","32,391",738
microsoft,graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,Python,"7,315",568,"1,101"
shadcn-ui,ui,Beautifully designed components that you can copy and paste into your apps. Accessible. Customizable. Open Source.,TypeScript,"63,509","3,586",139
donnemartin,system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,Python,"263,176","44,647",148
EbookFoundation,free-programming-books,📚 Freely available programming books,Unknown,"327,113","60,592",334
albertobsd,keyhunt,privkey hunt for crypto currencies that use secp256k1 elliptic curve,C++,526,290,63
GaiaNet-AI,gaianet-node,Install and run your own AI agent service,Shell,"2,891",119,199
lyswhut,lx-music-desktop,一个基于 electron 的音乐软件,TypeScript,"38,152","5,763",18
disposable-email-domains,disposable-email-domains,a list of disposable and temporary email address domains,Python,"2,659",534,149
practical-tutorials,project-based-learning,Curated list of project-based tutorials,Unknown,"180,901","23,765",171
ente-io,ente,"Fully open source, End to End Encrypted alternative to Google Photos and Apple Photos",Dart,"11,837",642,140
godotengine,godot,Godot Engine – Multi-platform 2D and 3D game engine,C++,"86,512","19,273",42
Grasscutters,Grasscutter,A server software reimplementation for a certain anime game.,Java,"15,946","4,465",16
alex-shpak,hugo-book,Hugo documentation theme as simple as plain book,HTML,"2,922","1,118",16
